resource_name,type,class_methods,object_methods,additional_methods,raw_actions
model,resource,"['create', 'get', 'list']","['delete', 'refresh']",[],"['CreateModel', 'DeleteModel', 'DescribeModel', 'ListModels']"
modelbiasjobdefinition,resource,"['create', 'get', 'list']","['delete', 'refresh']",[],"['CreateModelBiasJobDefinition', 'DeleteModelBiasJobDefinition', 'DescribeModelBiasJobDefinition', 'ListModelBiasJobDefinitions']"
modelcard,resource,"['create', 'get', 'list']","['delete', 'refresh', 'update']",[],"['CreateModelCard', 'DeleteModelCard', 'DescribeModelCard', 'ListModelCards', 'UpdateModelCard']"
modelcardexportjob,resource,"['create', 'get', 'list']",['refresh'],[],"['CreateModelCardExportJob', 'DescribeModelCardExportJob', 'ListModelCardExportJobs']"
modelexplainabilityjobdefinition,resource,"['create', 'get', 'list']","['delete', 'refresh']",[],"['CreateModelExplainabilityJobDefinition', 'DeleteModelExplainabilityJobDefinition', 'DescribeModelExplainabilityJobDefinition', 'ListModelExplainabilityJobDefinitions']"
modelpackage,resource,"['create', 'get', 'list']","['delete', 'refresh', 'update']",['batchdescribemodelpackage'],"['BatchDescribeModelPackage', 'CreateModelPackage', 'DeleteModelPackage', 'DescribeModelPackage', 'ListModelPackages', 'UpdateModelPackage']"
modelpackagegroup,resource,"['create', 'get', 'list']","['delete', 'refresh']",[],"['CreateModelPackageGroup', 'DeleteModelPackageGroup', 'DescribeModelPackageGroup', 'ListModelPackageGroups']"
modelqualityjobdefinition,resource,"['create', 'get', 'list']","['delete', 'refresh']",[],"['CreateModelQualityJobDefinition', 'DeleteModelQualityJobDefinition', 'DescribeModelQualityJobDefinition', 'ListModelQualityJobDefinitions']"
monitoringschedule,resource,"['create', 'get', 'list', 'start']","['delete', 'refresh', 'stop', 'update']",[],"['CreateMonitoringSchedule', 'DeleteMonitoringSchedule', 'DescribeMonitoringSchedule', 'ListMonitoringSchedules', 'StartMonitoringSchedule', 'StopMonitoringSchedule', 'UpdateMonitoringSchedule']"
notebookinstance,resource,"['create', 'get', 'list', 'start']","['delete', 'refresh', 'stop', 'update']",[],"['CreateNotebookInstance', 'DeleteNotebookInstance', 'DescribeNotebookInstance', 'ListNotebookInstances', 'StartNotebookInstance', 'StopNotebookInstance', 'UpdateNotebookInstance']"
notebookinstancelifecycleconfig,resource,"['create', 'get', 'list']","['delete', 'refresh', 'update']",[],"['CreateNotebookInstanceLifecycleConfig', 'DeleteNotebookInstanceLifecycleConfig', 'DescribeNotebookInstanceLifecycleConfig', 'ListNotebookInstanceLifecycleConfigs', 'UpdateNotebookInstanceLifecycleConfig']"
pipeline,resource,"['create', 'get', 'list']","['delete', 'refresh', 'update']",[],"['CreatePipeline', 'DeletePipeline', 'DescribePipeline', 'ListPipelines', 'UpdatePipeline']"
presigneddomainurl,resource,['create'],[],[],['CreatePresignedDomainUrl']
presignednotebookinstanceurl,resource,['create'],[],[],['CreatePresignedNotebookInstanceUrl']
processingjob,resource,"['create', 'get', 'list']","['refresh', 'stop']",[],"['CreateProcessingJob', 'DescribeProcessingJob', 'ListProcessingJobs', 'StopProcessingJob']"
project,resource,"['create', 'get', 'list']","['delete', 'refresh', 'update']",[],"['CreateProject', 'DeleteProject', 'DescribeProject', 'ListProjects', 'UpdateProject']"
space,resource,"['create', 'get', 'list']","['delete', 'refresh', 'update']",[],"['CreateSpace', 'DeleteSpace', 'DescribeSpace', 'ListSpaces', 'UpdateSpace']"
studiolifecycleconfig,resource,"['create', 'get', 'list']","['delete', 'refresh']",[],"['CreateStudioLifecycleConfig', 'DeleteStudioLifecycleConfig', 'DescribeStudioLifecycleConfig', 'ListStudioLifecycleConfigs']"
trainingjob,resource,"['create', 'get', 'list']","['refresh', 'stop', 'update']",[],"['CreateTrainingJob', 'DescribeTrainingJob', 'ListTrainingJobs', 'StopTrainingJob', 'UpdateTrainingJob']"
transformjob,resource,"['create', 'get', 'list']","['refresh', 'stop']",[],"['CreateTransformJob', 'DescribeTransformJob', 'ListTransformJobs', 'StopTransformJob']"
trial,resource,"['create', 'get', 'list']","['delete', 'refresh', 'update']",[],"['CreateTrial', 'DeleteTrial', 'DescribeTrial', 'ListTrials', 'UpdateTrial']"
trialcomponent,resource,"['create', 'get', 'list']","['delete', 'refresh', 'update']","['associatetrialcomponent', 'disassociatetrialcomponent']","['AssociateTrialComponent', 'CreateTrialComponent', 'DeleteTrialComponent', 'DescribeTrialComponent', 'DisassociateTrialComponent', 'ListTrialComponents', 'UpdateTrialComponent']"
userprofile,resource,"['create', 'get', 'list']","['delete', 'refresh', 'update']",[],"['CreateUserProfile', 'DeleteUserProfile', 'DescribeUserProfile', 'ListUserProfiles', 'UpdateUserProfile']"
workforce,resource,"['create', 'get', 'list']","['delete', 'refresh', 'update']",[],"['CreateWorkforce', 'DeleteWorkforce', 'DescribeWorkforce', 'ListWorkforces', 'UpdateWorkforce']"
workteam,resource,"['create', 'get', 'list']","['delete', 'refresh', 'update']","['describesubscribedworkteam', 'listlabelingjobsforworkteam', 'listsubscribedworkteams']","['CreateWorkteam', 'DeleteWorkteam', 'DescribeSubscribedWorkteam', 'DescribeWorkteam', 'ListLabelingJobsForWorkteam', 'ListSubscribedWorkteams', 'ListWorkteams', 'UpdateWorkteam']"
association,resource,"['add', 'list']",['delete'],[],"['AddAssociation', 'DeleteAssociation', 'ListAssociations']"
tags,resource,"['add', 'list']",['delete'],[],"['AddTags', 'DeleteTags', 'ListTags']"
pipelineexecution,resource,"['get', 'list', 'start']","['refresh', 'stop', 'update']",['retrypipelineexecution'],"['DescribePipelineExecution', 'ListPipelineExecutions', 'RetryPipelineExecution', 'StartPipelineExecution', 'StopPipelineExecution', 'UpdatePipelineExecution']"
devices,resource,"['list', 'register']","['deregister', 'update']",['liststagedevices'],"['DeregisterDevices', 'ListDevices', 'ListStageDevices', 'RegisterDevices', 'UpdateDevices']"
hubcontent,resource,"['get', 'import', 'list']","['delete', 'refresh']",[],"['DeleteHubContent', 'DescribeHubContent', 'ImportHubContent', 'ListHubContents']"
