resource_name,type,class_methods,object_methods,chain_resource_name,additional_methods,raw_actions,resource_status_chain,resource_states,primary_resource_states
FeatureGroup,resource,"['create', 'get', 'list']","['delete', 'refresh', 'update']",[],[],"['CreateFeatureGroup', 'DeleteFeatureGroup', 'DescribeFeatureGroup', 'ListFeatureGroups', 'UpdateFeatureGroup']","[{'status': 'FeatureGroupStatus', 'status_shape': 'FeatureGroupStatus'}]",,"['Creating', 'Created', 'CreateFailed', 'Deleting', 'DeleteFailed']"
FlowDefinition,resource,"['create', 'get', 'list']","['delete', 'refresh']",[],[],"['CreateFlowDefinition', 'DeleteFlowDefinition', 'DescribeFlowDefinition', 'ListFlowDefinitions']","[{'status': 'FlowDefinitionStatus', 'status_shape': 'FlowDefinitionStatus'}]",,"['Initializing', 'Active', 'Failed', 'Deleting']"
Hub,resource,"['create', 'get', 'list']","['delete', 'refresh', 'update']",[],[],"['CreateHub', 'DeleteHub', 'DescribeHub', 'ListHubs', 'UpdateHub']","[{'status': 'HubStatus', 'status_shape': 'HubStatus'}]",,"['InService', 'Creating', 'Updating', 'Deleting', 'CreateFailed', 'UpdateFailed', 'DeleteFailed']"
HubContent,resource,"['get', 'import', 'list']","['delete', 'refresh']",[],[],"['DeleteHubContent', 'DescribeHubContent', 'ImportHubContent', 'ListHubContents']","[{'status': 'HubContentStatus', 'status_shape': 'HubContentStatus'}]",,"['Available', 'Importing', 'Deleting', 'ImportFailed', 'DeleteFailed']"
HumanTaskUi,resource,"['create', 'get', 'list']","['delete', 'refresh']",[],[],"['CreateHumanTaskUi', 'DeleteHumanTaskUi', 'DescribeHumanTaskUi', 'ListHumanTaskUis']","[{'status': 'HumanTaskUiStatus', 'status_shape': 'HumanTaskUiStatus'}]",,"['Active', 'Deleting']"
HyperParameterTuningJob,resource,"['create', 'get', 'list']","['delete', 'refresh', 'stop']",[],['ListTrainingJobsForHyperParameterTuningJob'],"['CreateHyperParameterTuningJob', 'DeleteHyperParameterTuningJob', 'DescribeHyperParameterTuningJob', 'ListHyperParameterTuningJobs', 'ListTrainingJobsForHyperParameterTuningJob', 'StopHyperParameterTuningJob']","[{'status': 'HyperParameterTuningJobStatus', 'status_shape': 'HyperParameterTuningJobStatus'}]",,"['Completed', 'InProgress', 'Failed', 'Stopped', 'Stopping', 'Deleting', 'DeleteFailed']"
Image,resource,"['create', 'get', 'list']","['delete', 'refresh', 'update']",[],[],"['CreateImage', 'DeleteImage', 'DescribeImage', 'ListImages', 'UpdateImage']","[{'status': 'ImageStatus', 'status_shape': 'ImageStatus'}]",,"['CREATING', 'CREATED', 'CREATE_FAILED', 'UPDATING', 'UPDATE_FAILED', 'DELETING', 'DELETE_FAILED']"
ImageVersion,resource,"['create', 'get', 'list']","['delete', 'refresh', 'update']",['Image'],[],"['CreateImageVersion', 'DeleteImageVersion', 'DescribeImageVersion', 'ListImageVersions', 'UpdateImageVersion']","[{'status': 'ImageVersionStatus', 'status_shape': 'ImageVersionStatus'}]",,"['CREATING', 'CREATED', 'CREATE_FAILED', 'DELETING', 'DELETE_FAILED']"
InferenceComponent,resource,"['create', 'get', 'list']","['delete', 'refresh', 'update']",['Endpoint'],[],"['CreateInferenceComponent', 'DeleteInferenceComponent', 'DescribeInferenceComponent', 'ListInferenceComponents', 'UpdateInferenceComponent']","[{'status': 'InferenceComponentStatus', 'status_shape': 'InferenceComponentStatus'}]",,"['InService', 'Creating', 'Updating', 'Failed', 'Deleting']"
InferenceExperiment,resource,"['create', 'get', 'list', 'start']","['delete', 'refresh', 'stop', 'update']",['Endpoint'],[],"['CreateInferenceExperiment', 'DeleteInferenceExperiment', 'DescribeInferenceExperiment', 'ListInferenceExperiments', 'StartInferenceExperiment', 'StopInferenceExperiment', 'UpdateInferenceExperiment']","[{'status': 'Status', 'status_shape': 'InferenceExperimentStatus'}]",,"['Creating', 'Created', 'Updating', 'Running', 'Starting', 'Stopping', 'Completed', 'Cancelled']"
InferenceRecommendationsJob,resource,"['create', 'get', 'list']","['refresh', 'stop']",[],[],"['CreateInferenceRecommendationsJob', 'DescribeInferenceRecommendationsJob', 'ListInferenceRecommendationsJobs', 'StopInferenceRecommendationsJob']","[{'status': 'Status', 'status_shape': 'RecommendationJobStatus'}]",,"['PENDING', 'IN_PROGRESS', 'COMPLETED', 'FAILED', 'STOPPING', 'STOPPED', 'DELETING', 'DELETED']"
LabelingJob,resource,"['create', 'get', 'list']","['refresh', 'stop']",[],[],"['CreateLabelingJob', 'DescribeLabelingJob', 'ListLabelingJobs', 'StopLabelingJob']","[{'status': 'LabelingJobStatus', 'status_shape': 'LabelingJobStatus'}]",,"['Initializing', 'InProgress', 'Completed', 'Failed', 'Stopping', 'Stopped']"
Model,resource,"['create', 'get', 'list']","['delete', 'refresh']",[],[],"['CreateModel', 'DeleteModel', 'DescribeModel', 'ListModels']",[],,[]
ModelBiasJobDefinition,resource,"['create', 'get', 'list']","['delete', 'refresh']",[],[],"['CreateModelBiasJobDefinition', 'DeleteModelBiasJobDefinition', 'DescribeModelBiasJobDefinition', 'ListModelBiasJobDefinitions']",[],,[]
ModelCard,resource,"['create', 'get', 'list']","['delete', 'refresh', 'update']",[],[],"['CreateModelCard', 'DeleteModelCard', 'DescribeModelCard', 'ListModelCards', 'UpdateModelCard']","[{'status': 'ModelCardStatus', 'status_shape': 'ModelCardStatus'}]",,"['Draft', 'PendingReview', 'Approved', 'Archived']"
